scan_num, scan_time, type, bpi, bpi_mz, tic, num_peaks, num_deisotoped
21001,68.8801,2,6222745,230.16992,5.964417E+07,110,0
21002,68.8824,2,528381.2,129.13780,1.560054E+07,290,0
21003,68.8847,2,1405710,262.15073,1.662686E+07,286,0
21004,68.8870,2,486356.1,230.16997,6707371,137,0
21005,68.8893,2,719312.5,127.13091,7501275,169,0
21007,68.8960,2,4694604,756.40796,8.595216E+07,147,0
21008,68.8982,2,2907041,230.16994,6.612612E+07,136,0
21009,68.9005,2,754864.2,616.81622,1.541486E+07,257,0
21010,68.9028,2,411246.3,878.97321,7269131,94,0
21013,68.9152,2,1272383,175.11874,3.510338E+07,205,0
21014,68.9175,2,2.904566E+07,110.07147,2.127297E+08,137,0
21015,68.9197,2,1108704,129.13765,2.293329E+07,177,0
21016,68.9220,2,628973.5,110.07156,7574134,175,0
21017,68.9243,2,619822,264.13400,7757910,175,0
21018,68.9266,2,721253.3,262.15076,9189572,227,0
21019,68.9289,2,542218,130.14105,1.024373E+07,208,0
21021,68.9362,2,2408831,404.23386,3.374916E+07,247,0
21022,68.9385,2,567117.8,358.22855,1.131938E+07,202,0
21023,68.9408,2,796746.1,130.14101,1.574161E+07,209,0
21024,68.9430,2,672441.5,376.27539,1.293361E+07,243,0
21025,68.9453,2,697444.6,131.13812,1.513268E+07,248,0
21028,68.9576,2,922811.7,230.17001,1.881975E+07,263,0
21029,68.9599,2,793029.2,230.16997,1.688777E+07,221,0
21030,68.9622,2,3805471,175.11877,6.009733E+07,126,0
21031,68.9645,2,893582.8,230.16995,1.255493E+07,224,0
21032,68.9668,2,311869.9,878.97351,6109114,75,0
21034,68.9735,2,616352.1,127.13119,1.005105E+07,242,0
21035,68.9758,2,647860.6,196.07155,9845360,182,0
21036,68.9781,2,565463.4,127.13115,1.572049E+07,278,0
21038,68.9847,2,2.766078E+07,414.51413,6.430675E+08,146,0
21039,68.9870,2,3777100,500.83109,5.595328E+07,202,0
21040,68.9892,2,542872.2,230.16997,1.06072E+07,235,0
21041,68.9916,2,281113.6,110.07154,6427381,213,0
21042,68.9938,2,351945,127.13109,1.352784E+07,298,0
21043,68.9961,2,218759.4,131.13814,5693296,169,0
21045,69.0034,2,7703453,552.35016,1.755012E+08,206,0
21046,69.0057,2,1961544,136.07558,7.218558E+07,288,0
21048,69.0124,2,1756820,175.11888,4.736904E+07,129,0
21049,69.0147,2,866582.6,230.16994,1.461901E+07,177,0
21050,69.0169,2,788697.6,129.13776,2.288092E+07,387,0
21052,69.0236,2,2.347106E+07,262.15060,2.075192E+08,144,0
21053,69.0259,2,4150811,213.63654,4.58905E+07,234,0
21055,69.0325,2,1640805,358.22849,2.853877E+07,139,0
21056,69.0348,2,686153.9,196.07161,1.116218E+07,195,0
21057,69.0371,2,2326829,110.07156,3.881374E+07,338,0
21058,69.0394,2,1914537,376.27542,3.57332E+07,343,0
21059,69.0417,2,477083,724.42926,7977991,152,0
21060,69.0440,2,261117.6,586.22913,7424956,237,0
21061,69.0463,2,296855.2,913.04102,4893396,79,0
21062,69.0486,2,330632.7,230.17000,5945662,112,0
21064,69.0559,2,2.056578E+07,175.11893,3.756203E+08,124,0
21065,69.0582,2,1122289,138.05490,7222965,98,0
21066,69.0605,2,2023350,230.16994,3.479706E+07,229,0
21067,69.0628,2,1208817,110.07157,2.937223E+07,325,0
21069,69.0694,2,1.024112E+07,131.13811,2.133475E+08,126,0
21070,69.0717,2,5689879,538.80591,9.515209E+07,100,0
21071,69.0740,2,1.611221E+07,475.34387,4.349099E+08,125,0
21072,69.0763,2,8190816,588.37323,1.58018E+08,130,0
21073,69.0786,2,780989.4,828.02130,9183365,134,0
21074,69.0809,2,2661157,138.05486,1.739334E+07,112,0
21075,69.0832,2,270414.9,230.17014,6701387,198,0
21076,69.0855,2,672754.6,196.07159,1.249537E+07,199,0
21077,69.0878,2,550498.1,230.17014,1.281421E+07,239,0
21078,69.0900,2,223936.4,230.17006,7020486,223,0
21080,69.0974,2,328207.1,230.17003,7672220,199,0
21082,69.1041,2,2234070,686.45776,3.340995E+07,321,0
21083,69.1063,2,504826.2,651.89575,1.026117E+07,222,0
21084,69.1086,2,7075793,110.07150,1.00952E+08,115,0
21085,69.1109,2,678437,795.50385,1.022037E+07,224,0
21086,69.1132,2,402244,874.41956,1.101339E+07,208,0
21087,69.1155,2,399957,230.17009,7132816,150,0
21088,69.1178,2,535092.5,616.81653,1.018458E+07,224,0
21089,69.1201,2,598716.8,230.17003,1.030484E+07,210,0
21091,69.1274,2,8707044,476.81482,1.434032E+08,81,0
21092,69.1297,2,273792.2,693.30688,8507169,221,0
21094,69.1363,2,1.34724E+07,230.16998,2.806983E+08,152,0
21095,69.1386,2,2529473,359.72391,6.37052E+07,254,0
21096,69.1409,2,1278676,230.17007,2.866402E+07,242,0
21097,69.1432,2,1090715,128.13437,2.957432E+07,288,0
21098,69.1455,2,464285.8,110.07159,1.249414E+07,279,0
21099,69.1477,2,957834.8,131.13814,1.753374E+07,246,0
21100,69.1501,2,446892.4,906.41785,6029791,164,0
21101,69.1524,2,1881105,138.05489,9465988,75,0
21102,69.1547,2,242765.6,230.17009,5341122,181,0
21104,69.1620,2,2403655,230.17009,3.36236E+07,196,0
21105,69.1643,2,77517.22,230.17010,3296523,155,0
21106,69.1666,2,574816.8,433.75592,1.927243E+07,301,0
21107,69.1689,2,244379.5,795.50348,3873729,154,0
21108,69.1712,2,531120.6,906.41815,6186155,151,0
21109,69.1735,2,193057.3,230.17017,7681197,239,0
21110,69.1758,2,532161.1,136.07571,6949505,198,0
21112,69.1831,2,1626991,230.17004,3.050141E+07,211,0
21113,69.1854,2,568123.1,624.33398,1.506234E+07,229,0
21115,69.1920,2,1166683,230.17004,2.431574E+07,139,0
21116,69.1943,2,461090.9,136.07570,1.151235E+07,240,0
21117,69.1966,2,2946488,602.83881,5.293824E+07,285,0
21118,69.1989,2,1006838,131.13806,2.040292E+07,227,0
21119,69.2012,2,4154284,686.95911,4.300498E+07,312,0
21120,69.2035,2,738845.4,126.05495,1.071414E+07,137,0
21122,69.2108,2,2239791,131.13815,5.135754E+07,171,0
21123,69.2131,2,559122.2,230.17012,1.754918E+07,258,0
21125,69.2197,2,386637.5,175.11894,1.006093E+07,225,0
21126,69.2220,2,1.891734E+07,213.63652,2.517157E+08,144,0
21127,69.2243,2,2991730,110.07154,5.005131E+07,282,0
21128,69.2265,2,308027.6,359.72403,7990389,235,0
21129,69.2288,2,583858.3,126.05508,1.554813E+07,304,0
21130,69.2311,2,541941.3,230.17010,1.01634E+07,157,0
21131,69.2334,2,220768.1,230.17010,8476086,250,0
21132,69.2357,2,535554.4,457.29712,8085535,174,0
21134,69.2430,2,841951.4,672.37994,1.881482E+07,149,0
21135,69.2454,2,306112.7,1252.58594,9997459,143,0
21136,69.2476,2,3697499,129.13770,1.019979E+08,195,0
21137,69.2499,2,796019.1,129.13768,1.668027E+07,223,0
21138,69.2522,2,501803.8,230.16994,9297279,164,0
21139,69.2545,2,1766313,230.16997,2.926875E+07,279,0
21140,69.2568,2,902227.5,110.07151,1.377498E+07,237,0
21142,69.2641,2,6015859,175.11884,1.660014E+08,237,0
21143,69.2664,2,1616267,213.63660,2.078382E+07,276,0
21145,69.2730,2,1674276,110.07143,1.455581E+07,196,0
21146,69.2753,2,453587.2,521.29187,1.215157E+07,227,0
21147,69.2776,2,741573.8,230.16991,1.248629E+07,160,0
21148,69.2799,2,111154.6,435.23709,4073347,193,0
21149,69.2822,2,499113.6,128.12819,1.084999E+07,231,0
21150,69.2845,2,773157.4,745.93597,1.696933E+07,197,0
21151,69.2868,2,290897.8,230.16998,7324706,165,0
21152,69.2890,2,396605.3,230.17001,6426995,134,0
21153,69.2914,2,739001.1,131.13815,8668473,172,0
21154,69.2936,2,616365.5,230.16998,1.427909E+07,287,0
21156,69.3009,2,4.083283E+07,230.16988,7.764321E+08,115,0
21157,69.3032,2,8627698,358.22852,1.422071E+08,82,0
21159,69.3099,2,518698.8,358.22864,1.192891E+07,147,0
21160,69.3121,2,1083333,230.17009,1.692808E+07,217,0
21161,69.3144,2,2957989,230.17003,4.545962E+07,202,0
21162,69.3167,2,827131,836.39850,1.910089E+07,270,0
21163,69.3190,2,438345.5,175.11890,9962196,175,0
21164,69.3212,2,3011975,590.85748,7.686938E+07,239,0
21165,69.3235,2,4908698,136.07556,6.945585E+07,156,0
21166,69.3258,2,407158.9,248.18065,1.190656E+07,278,0
21167,69.3281,2,395082.5,230.17006,1.112466E+07,269,0
21169,69.3354,2,2.865275E+07,272.17139,1.322318E+08,47,0
21170,69.3377,2,1584328,230.17003,3.791022E+07,206,0
21171,69.3400,2,480339.9,631.39777,9166373,193,0
21172,69.3423,2,9166385,262.15070,1.386293E+08,137,0
21173,69.3446,2,743267.1,1252.58545,2.580172E+07,231,0
21174,69.3469,2,2630985,623.13745,4.907879E+07,311,0
21175,69.3492,2,306948.7,230.17010,1.125125E+07,273,0
21176,69.3515,2,569715.9,544.29266,1.495971E+07,128,0
21177,69.3538,2,327914.2,592.29602,6623847,196,0
21179,69.3611,2,1956706,159.09158,4.235028E+07,294,0
21180,69.3634,2,7413479,129.13153,1.53453E+08,114,0
21182,69.3701,2,744054.6,230.17017,1.670158E+07,293,0
21183,69.3723,2,1466476,530.67242,3.547736E+07,292,0
21184,69.3746,2,4122453,601.10822,1.296825E+08,175,0
21185,69.3769,2,480831,230.17010,1.742022E+07,368,0
21186,69.3792,2,311491.1,130.13460,1.53311E+07,210,0
21187,69.3815,2,263858.2,230.17010,5391378,165,0
21188,69.3838,2,298891.8,129.13786,7067889,196,0
21189,69.3861,2,169178.2,230.17009,3990968,161,0
21191,69.3934,2,200237.6,230.17009,5686495,179,0
21192,69.3957,2,437227.9,905.99548,1.817811E+07,222,0
21193,69.3980,2,2601604,686.45728,3.624842E+07,340,0
21194,69.4003,2,689709.7,580.85547,1.078095E+07,116,0
21195,69.4026,2,213258.3,230.17012,4159162,116,0
21197,69.4093,2,620209.7,356.91071,1.797814E+07,274,0
21198,69.4116,2,352419.8,230.17015,6228585,147,0
21199,69.4139,2,1955834,230.17003,3.461584E+07,176,0
21200,69.4161,2,592276.4,128.13449,1.519156E+07,265,0
21201,69.4184,2,424186.8,616.81659,9430070,180,0
21203,69.4251,2,475888.6,127.13092,5273027,134,0
21204,69.4274,2,203539.9,131.13826,3818920,128,0
21205,69.4296,2,1557661,120.08092,1.709662E+07,187,0
21206,69.4319,2,1422564,303.17743,2.646086E+07,308,0
21207,69.4342,2,605154.8,248.18063,1.87267E+07,248,0
21208,69.4365,2,400849.3,592.29633,1.03731E+07,249,0
21209,69.4388,2,508456.3,130.13490,1.275052E+07,236,0
21211,69.4461,2,1044032,558.83234,1.800755E+07,126,0
21212,69.4483,2,367397.6,230.17014,8532970,164,0
21214,69.4550,2,6020759,110.07155,1.364954E+08,238,0
21215,69.4573,2,464471.2,230.17018,1.122774E+07,254,0
21216,69.4595,2,673020.1,136.07573,9883487,233,0
21217,69.4618,2,4560546,416.25540,5.019271E+07,74,0
21218,69.4641,2,458623.6,248.18074,1.245777E+07,258,0
21219,69.4664,2,569923.1,131.13818,1.293025E+07,199,0
21220,69.4686,2,455192.3,230.17015,1.590584E+07,321,0
21221,69.4709,2,682402.5,230.17018,1.371381E+07,226,0
21222,69.4732,2,156362.1,230.17017,5200586,201,0
21223,69.4755,2,785604.6,130.13487,1.614078E+07,200,0
21225,69.4828,2,381259.8,357.24503,8819142,191,0
21227,69.4895,2,2.945865E+07,110.07152,6.803441E+08,258,0
21228,69.4918,2,1.049511E+07,356.91071,7.969593E+07,179,0
21229,69.4940,2,2608592,230.17001,6.154238E+07,143,0
21230,69.4963,2,1456072,143.11784,1.116353E+07,192,0
21231,69.4986,2,854811.2,248.18063,1.362923E+07,333,0
21233,69.5053,2,431789.9,230.17012,1.359335E+07,281,0
21234,69.5076,2,937755,230.17000,1.582833E+07,207,0
21235,69.5099,2,3270772,631.39728,4.028165E+07,126,0
21236,69.5122,2,473808.9,131.13821,1.542559E+07,314,0
21238,69.5188,2,8790285,175.11888,2.164021E+08,145,0
21239,69.5211,2,1921989,597.35156,3.731427E+07,158,0
21240,69.5234,2,635739.7,230.17003,1.965898E+07,332,0
21242,69.5300,2,7200866,262.15073,7.806669E+07,182,0
21243,69.5323,2,2972043,230.16994,5.091052E+07,183,0
21244,69.5346,2,1000291,130.13490,2.464216E+07,212,0
21245,69.5369,2,363565.2,385.24197,8949056,246,0
21246,69.5392,2,792026.5,230.17000,1.942388E+07,355,0
21247,69.5415,2,1010617,230.17006,1.982342E+07,316,0
21248,69.5438,2,417742.2,230.17003,1.361976E+07,292,0
21250,69.5511,2,856276.7,127.13093,6497076,152,0
21251,69.5534,2,120498.1,230.17006,2694695,91,0
21252,69.5557,2,3954479,136.07565,4.935445E+07,163,0
21253,69.5580,2,3192126,906.99866,7.892116E+07,375,0
21254,69.5603,2,1185258,639.91858,2.309568E+07,278,0
21256,69.5670,2,3.152694E+07,230.17004,5.002291E+08,75,0
21257,69.5692,2,460277.2,376.27560,1.355328E+07,219,0
21258,69.5715,2,1.227007E+07,120.08089,1.440493E+08,165,0
21259,69.5738,2,2778874,230.17004,5.506838E+07,268,0
21261,69.5804,2,454116.4,471.79974,7529376,203,0
21262,69.5827,2,310166,255.10857,7080740,233,0
21263,69.5850,2,667734.8,136.07565,2.103885E+07,360,0
21264,69.5873,2,5324984,110.07153,1.339469E+08,206,0
21265,69.5896,2,783761.9,230.17004,2.042043E+07,289,0
21266,69.5919,2,733384.2,230.17000,1.367594E+07,120,0
21267,69.5942,2,768600.6,230.17001,2.103385E+07,333,0
21268,69.5965,2,578133.4,303.17737,7125604,184,0
21270,69.6038,2,3833403,588.37317,7.500267E+07,90,0
21271,69.6061,2,162234.7,639.88202,4165967,129,0
21272,69.6084,2,2908813,230.16995,7.247582E+07,179,0
21273,69.6107,2,2469766,230.17001,5.04905E+07,262,0
21274,69.6130,2,4000867,376.27545,9.496315E+07,254,0
21275,69.6152,2,8442511,628.35803,4.696234E+07,240,0
21276,69.6176,2,1244914,230.16994,2.4978E+07,155,0
21277,69.6198,2,419216.4,127.13106,8414093,202,0
21279,69.6272,2,6.866196E+07,110.07152,5.074666E+08,92,0
21280,69.6295,2,5958542,874.41919,8.653076E+07,203,0
21281,69.6317,2,1449527,110.07150,1.786673E+07,212,0
21282,69.6340,2,1196199,505.32571,2.417655E+07,249,0
21283,69.6363,2,286759.3,128.13403,7208223,185,0
21284,69.6386,2,479086.6,230.17003,8414076,180,0
21286,69.6459,2,248216.7,906.41779,5653026,107,0
21287,69.6483,2,406739.6,734.40466,7434060,164,0
21288,69.6505,2,1.255082E+07,573.36798,1.104601E+08,194,0
21289,69.6528,2,1301834,559.87592,2.829483E+07,210,0
21290,69.6551,2,2011973,129.13760,3.664512E+07,164,0
21291,69.6574,2,1981171,131.13815,2.265421E+07,331,0
21292,69.6596,2,2028718,110.07150,3.126395E+07,214,0
21294,69.6669,2,973855.3,447.31281,1.708219E+07,226,0
21295,69.6692,2,436077.8,129.13780,1.025998E+07,251,0
21296,69.6715,2,7569026,120.08089,9.228005E+07,133,0
21297,69.6738,2,2178727,110.07152,5.66262E+07,349,0
21298,69.6761,2,334301.5,230.17007,7270459,183,0
21300,69.6827,2,761847.2,248.18062,9328089,233,0
21301,69.6851,2,579533.5,345.19690,6076169,112,0
21302,69.6874,2,1626129,130.13489,4.9936E+07,287,0
21303,69.6896,2,616331.1,110.07157,1.784171E+07,249,0
21304,69.6920,2,926491.6,906.41821,2.064927E+07,248,0
21305,69.6942,2,353189.7,248.18066,8135748,253,0
21306,69.6966,2,851170.6,345.19696,8292742,158,0
21308,69.7039,2,446030.1,827.43469,1.305877E+07,156,0
21309,69.7062,2,469313.3,230.17003,7007184,170,0
21310,69.7085,2,1.609896E+07,120.08089,3.930062E+08,193,0
21311,69.7108,2,3120347,629.41278,6.799729E+07,176,0
21312,69.7130,2,3384547,322.18698,2.814511E+07,266,0
21313,69.7153,2,1596542,559.87579,4.091568E+07,213,0
21314,69.7176,2,5042656,120.08088,8.163986E+07,112,0
21315,69.7199,2,1610392,110.07151,4.698536E+07,349,0
21316,69.7222,2,887853.8,175.11884,3.340181E+07,304,0
21317,69.7245,2,637250.3,230.16992,2.19831E+07,227,0
21319,69.7318,2,1246244,130.13486,3.062068E+07,151,0
21320,69.7340,2,514082,230.16998,6518226,163,0
21322,69.7407,2,3621937,409.22998,1.299877E+08,400,0
21323,69.7430,2,2251086,304.16122,2.822138E+07,312,0
21324,69.7453,2,2183458,230.16995,4.952224E+07,237,0
21325,69.7476,2,1806903,616.81647,4.115471E+07,298,0
21326,69.7499,2,665815.6,230.17000,2.095186E+07,294,0
21327,69.7522,2,828283.7,906.41785,2.324815E+07,256,0
21328,69.7545,2,340918.6,466.25168,9254291,156,0
21330,69.7618,2,2.947338E+07,131.13806,1.048375E+09,210,0
21331,69.7641,2,1337747,408.27267,2.817933E+07,286,0
21332,69.7664,2,531222.9,242.11327,1.151058E+07,184,0
21333,69.7687,2,578822.2,704.40436,1.188349E+07,196,0
21334,69.7710,2,656058.4,230.17001,1.127229E+07,216,0
21336,69.7776,2,754045.1,504.33426,1.969014E+07,327,0
21337,69.7799,2,2054005,130.14105,4.000517E+07,119,0
21338,69.7822,2,1179744,230.17006,2.560048E+07,203,0
21339,69.7845,2,617820.4,230.17007,1.018424E+07,183,0
21340,69.7867,2,366636.6,230.17007,1.019898E+07,201,0
21341,69.7890,2,5984947,230.16995,1.536694E+08,276,0
21342,69.7913,2,2128298,652.84460,6.363599E+07,358,0
21343,69.7936,2,518052.5,656.39276,1.351838E+07,231,0
21345,69.8009,2,756655.2,693.30725,1.973071E+07,300,0
21346,69.8032,2,726848.9,131.13815,1.709786E+07,272,0
21347,69.8055,2,633300.6,110.07158,1.242047E+07,221,0
21348,69.8078,2,415590.5,409.23047,1.155568E+07,229,0
21349,69.8101,2,619746.7,110.07157,1.370469E+07,220,0
21350,69.8124,2,239303.7,230.17006,4420625,129,0
21352,69.8198,2,339356.8,126.05503,4938946,128,0
21353,69.8220,2,789188.2,230.17004,1.388783E+07,219,0
21354,69.8243,2,6806764,473.32816,1.026392E+08,160,0
21355,69.8266,2,721736.8,230.17001,1.927044E+07,285,0
21356,69.8289,2,2627532,230.16983,7.09443E+07,318,0
21357,69.8312,2,2118021,230.16989,3.504296E+07,240,0
21359,69.8385,2,3044603,136.07561,5.535936E+07,142,0
21360,69.8409,2,841611.1,870.12329,1.608651E+07,180,0
21361,69.8431,2,3156482,433.29648,5.802968E+07,267,0
21362,69.8454,2,601299.9,230.17004,9539688,194,0
21363,69.8478,2,624798.6,503.30222,2.227626E+07,194,0
21366,69.8601,2,1632340,376.27554,2.066689E+07,181,0
21367,69.8624,2,1216293,248.18044,1.417601E+07,153,0
21368,69.8647,2,1.284392E+07,583.82611,3.274072E+08,262,0
21369,69.8669,2,2.166956E+07,473.32825,2.861703E+08,183,0
21370,69.8693,2,913059.9,409.23035,2.541424E+07,238,0
21371,69.8715,2,1803063,230.17001,2.454037E+07,263,0
21372,69.8738,2,904675.3,230.16994,2.952655E+07,223,0
21373,69.8761,2,129231.1,230.17006,4524240,194,0
21374,69.8784,2,570478.9,843.41492,1.081926E+07,220,0
21375,69.8808,2,840635.5,230.16985,1.663817E+07,182,0
21377,69.8881,2,2553850,906.49664,3.909098E+07,256,0
21378,69.8904,2,1002096,136.07565,1.770374E+07,327,0
21379,69.8928,2,889560.1,1177.68823,2.482256E+07,201,0
21380,69.8950,2,1032435,136.07561,2.028327E+07,299,0
21381,69.8973,2,968064.9,127.13097,9528219,195,0
21382,69.8996,2,946867.9,110.07156,1.417184E+07,273,0
21383,69.9019,2,777111,230.17003,1.169338E+07,242,0
21384,69.9042,2,1384983,230.16994,2.036172E+07,127,0
21386,69.9115,2,563889.3,409.23032,1.616025E+07,214,0
21387,69.9139,2,727248.6,877.03955,1.238904E+07,184,0
21388,69.9162,2,1682196,230.16991,2.525012E+07,201,0
21389,69.9184,2,568122.1,230.17003,1.070556E+07,275,0
21391,69.9251,2,6694119,230.16997,9.845527E+07,115,0
21392,69.9277,2,761513.3,130.13489,1.542793E+07,287,0
21393,69.9299,2,769299.4,503.30267,2.203839E+07,292,0
21395,69.9366,2,4123267,120.08092,4.431882E+07,211,0
21396,69.9389,2,1183442,473.32828,2.362688E+07,235,0
21397,69.9411,2,3.221893E+07,589.34772,5.167191E+08,268,0
21398,69.9434,2,9427158,603.29333,8.727143E+07,128,0
21399,69.9457,2,2.55734E+07,605.36566,2.176902E+08,322,0
21400,69.9480,2,1837296,136.07564,2.914334E+07,379,0
21401,69.9503,2,4953194,473.32806,3.265642E+07,231,0
21402,69.9525,2,563123.6,110.07156,9880002,214,0
21403,69.9548,2,671931.6,230.17009,1.465246E+07,249,0
21404,69.9571,2,1144046,127.13111,1.402792E+07,146,0
21406,69.9645,2,387113.2,230.17004,6540633,136,0
21407,69.9668,2,405487.8,230.17010,1.056645E+07,251,0
21408,69.9691,2,993233.3,127.13107,1.372716E+07,147,0
21409,69.9714,2,497894.3,130.14114,1.294779E+07,280,0
21411,69.9780,2,4.773526E+07,376.27542,9.634643E+08,148,0
21412,69.9803,2,380207.7,110.07155,8131923,208,0
21413,69.9826,2,553644.4,433.29712,1.75698E+07,305,0
21414,69.9849,2,623773.1,669.36285,1.457772E+07,228,0
21415,69.9872,2,374759.5,230.17015,8659537,255,0
21416,69.9895,2,309428.8,230.17004,9111158,234,0
21417,69.9918,2,194682.8,230.17012,7162382,254,0
21418,69.9941,2,919201.7,506.78949,1.413306E+07,210,0
21420,70.0014,2,6.051647E+07,230.17001,1.421059E+09,127,0
21421,70.0037,2,3022109,143.11781,2.142829E+07,175,0
21423,70.0104,2,4.121298E+07,230.16994,7.425071E+08,124,0
21424,70.0126,2,5676785,129.13770,1.805989E+08,180,0
21425,70.0149,2,3107328,136.07564,2.272624E+07,193,0
21426,70.0172,2,1100692,504.33386,3.087104E+07,290,0
21427,70.0195,2,778586.6,110.07150,1.300646E+07,260,0
21428,70.0231,2,472317.7,175.11893,9065502,173,0
21429,70.0254,2,585416.6,230.16997,1.149884E+07,157,0
21430,70.0277,2,1351107,230.16989,2.112886E+07,166,0
21432,70.0344,2,1549729,230.17003,3.706363E+07,290,0
21433,70.0367,2,334199.7,230.17007,7883353,234,0
21434,70.0390,2,4871500,734.40448,1.079772E+08,236,0
21435,70.0412,2,1865576,489.35944,3.455152E+07,222,0
21436,70.0435,2,1481813,127.13104,3.202531E+07,196,0
21437,70.0458,2,440033.1,376.27557,1.680205E+07,228,0
21438,70.0481,2,2059690,275.08041,3.734147E+07,288,0
21439,70.0504,2,2034754,597.35162,4.243236E+07,320,0
21440,70.0527,2,746089.5,409.23035,2.345635E+07,244,0
21441,70.0549,2,999893.4,436.28131,1.84396E+07,210,0
21443,70.0622,2,1.346933E+08,136.07558,8.452908E+08,107,0
21444,70.0645,2,688860.8,732.88531,1.837718E+07,255,0
21446,70.0712,2,1.868565E+07,136.07559,1.963843E+08,126,0
21447,70.0735,2,5540013,230.16994,8.99449E+07,113,0
21448,70.0757,2,1760361,376.27542,3.517408E+07,168,0
21449,70.0781,2,844476.9,975.58508,1.619995E+07,160,0
21450,70.0804,2,543159.3,230.17009,1.317232E+07,278,0
21451,70.0826,2,1143435,175.11884,2.691224E+07,183,0
21452,70.0849,2,2633898,110.07154,2.229025E+07,165,0
21453,70.0872,2,1852700,645.87134,4.259913E+07,310,0
21454,70.0895,2,466628.5,230.17012,1.147393E+07,261,0
21455,70.0918,2,1174338,230.17001,1.647961E+07,177,0
21457,70.0991,2,6497121,248.18051,8.902162E+07,205,0
21458,70.1014,2,894859.3,230.17004,2.049633E+07,309,0
21459,70.1037,2,2279349,230.16989,5.726919E+07,286,0
21460,70.1060,2,1602713,642.36584,2.881214E+07,203,0
21461,70.1083,2,1415747,230.16989,2.893435E+07,177,0
21462,70.1106,2,576695.6,175.11885,1.136485E+07,154,0
21463,70.1129,2,9073972,574.37067,8.355266E+07,291,0
21464,70.1151,2,780831.9,230.17006,1.936347E+07,246,0
21465,70.1174,2,3275880,136.07561,2.758198E+07,273,0
21466,70.1197,2,1002078,376.27570,1.984951E+07,306,0
21468,70.1270,2,3.632172E+07,473.32822,4.949626E+08,172,0
21469,70.1293,2,1.712929E+07,573.36792,3.106087E+08,92,0
21470,70.1316,2,9855771,136.07562,8.909805E+07,253,0
21471,70.1339,2,1018789,230.16994,1.934501E+07,142,0
21472,70.1361,2,664415.4,110.07153,2.165206E+07,336,0
21473,70.1385,2,1085401,1046.07813,2.040583E+07,126,0
21474,70.1408,2,616550.6,130.14111,1.408363E+07,270,0
21475,70.1430,2,1399733,120.08091,1.428808E+07,215,0
21476,70.1453,2,1353613,131.13805,2.917616E+07,230,0
21478,70.1527,2,537925.1,130.13493,1.017948E+07,197,0
21479,70.1550,2,389340.9,127.13109,8219245,180,0
21480,70.1573,2,2.982326E+07,473.32822,3.983406E+08,225,0
21481,70.1596,2,1185819,230.16997,4.075519E+07,287,0
21482,70.1618,2,1175122,230.16997,2.524812E+07,225,0
21483,70.1641,2,1270088,376.27554,4.596202E+07,252,0
21484,70.1664,2,607603.9,248.18065,1.186656E+07,315,0
21486,70.1737,2,915218.5,262.15067,1.585629E+07,206,0
21487,70.1760,2,644701.1,230.17004,9198419,225,0
21488,70.1782,2,924904.9,110.07153,2.539793E+07,264,0
21489,70.1805,2,1357898,120.08093,7657146,173,0
21490,70.1828,2,879769.9,230.17004,1.478802E+07,234,0
21491,70.1851,2,554243.7,230.17003,2.009336E+07,344,0
21493,70.1924,2,224996.7,409.23022,1.007526E+07,266,0
21494,70.1947,2,364484.2,274.09186,1.264501E+07,248,0
21495,70.1970,2,1.572509E+07,473.32816,2.654329E+08,181,0
21496,70.1993,2,1373355,248.18044,2.966439E+07,268,0
21497,70.2016,2,571725.5,230.17001,1.188727E+07,203,0
21498,70.2039,2,1377714,262.15057,2.288589E+07,228,0
21499,70.2062,2,360316.4,131.13815,1.297286E+07,264,0
21500,70.2085,2,659784.8,230.16997,1.645051E+07,145,0
